Total Contract Value (TCV),Account Name,Opportunity Name,Opportunity Stage,Fiscal Period,Opportunity Closure Date,Lead Source,Opportunity Type,Opportunity Owner,Secondary Practice Area,Gross Profit Margin (GPM %),Ascendion Office,Start Date,End Date,Last Modified Date,Commit Status,Probability (%),Created Date,Opportunity Creation Date as per User,Procurement Process,Execution Approach,Account Manager,Super Merge Client Name,Opportunity ID,ID(18 Characters),Previous Opportunity Stage,Opportunity Last Stage change Date,AVA Offering_Tracking,AVA Offering Multi Select Drop down (Val,AVA Platform Considered (Yes/No)?,Proactive?,Alliance Partner,Industry BU Group,Practice,Amount
,BMO Harris Bank,BMO - AVA One View,Proposal Presentation,Q1-2023,2/28/23,SSG,,Patrick Chamberlain,,,Direct - No Region,3/7/23,6/7/23,5/2/23,Low confidence,50,9/15/22,9/13/22,N/A,,,,0065c000013HKgL,0065c000013HKgLAAW,,,,,,,,BFSI 1,,250000
240000,JPMorgan Chase & Co.,JPMC - CTC Cybersecurity SIEM Data Engineering,Negotiation/Review,Q4-2023,11/30/23,Other,New Business,Ritesh Brahmbhatt,,30,Direct - No Region,12/1/23,11/15/24,10/17/23,Commit,80,6/26/23,6/26/23,Direct,Engineering projects,Timothy Phillips,JPMorgan Chase & Co.,0065c00001IZoYF,0065c00001IZoYFAA1,Negotiation/Review,10/16/23 17:00,,,,Yes,,BFSI 1,Enterprise Architecture,
110000,Citigroup Inc.,Rich Pavlosky - Industry Benchmarking,Inquiry,Q1-2024,2/29/24,Cold call,New Business,Rahul Naithani,,30,"Dallas, TX",12/1/23,2/23/24,10/9/23,Low confidence,0,10/9/23,,Proactive pitch,Engineering projects,Geetanjali Khatri,Citigroup Inc.,0065c00001Ni0UX,0065c00001Ni0UXAAZ,Inquiry,10/8/23 17:00,,,,Yes,,BFSI 1,Enterprise Architecture,
1,PayPal Holdings Inc.,Paypal Talent RFP/consolidation,Inquiry,Q3-2023,9/1/23,Client Referral,New Business,Abhishek V,,,"SoCal, CA",,,7/31/23,,0,7/31/23,7/28/23,RFP driven,Engineering projects,Dillon Mcfarland,PayPal Holdings Inc.,0065c00001JECaq,0065c00001JECaqAAH,Inquiry,7/30/23 17:00,,,,No,,BFSI 1,Enterprise Architecture,
1317889,JPMorgan Chase & Co.,JPMC - CIB Payments Client Sanctions Tech AWS Full Stack - EE,Negotiation/Review,Q4-2023,10/31/23,Cold call,New Business,Emily Esquinaldo,,25,"Tampa, FL",10/23/23,4/21/25,10/23/23,Commit,80,8/23/23,8/23/23,Direct,DDS,Emily Esquinaldo,JPMorgan Chase & Co.,0065c00001MnDEb,0065c00001MnDEbAAN,Negotiation/Review,10/10/23 17:00,,,,No,,BFSI 1,Enterprise Architecture,
200000,Citigroup Inc.,Shayna Raun- Citi- EE- Cloud Engineering,Inquiry,Q1-2024,1/31/24,Cold call,New Business,Rahul Naithani,,,"Tampa, FL",,,10/9/23,Low confidence,0,8/11/23,8/11/23,Direct,Engineering projects,Emily Esquinaldo,Citigroup Inc.,0065c00001Mermk,0065c00001MermkAAB,Inquiry,8/10/23 17:00,,,,No,,BFSI 1,Enterprise Architecture,
500000,JPMorgan Chase & Co.,JPMC CCB OPS - Check Processing Integrated system AWS Migration,Investigation & Analysis,Q3-2024,7/1/24,Client Referral,New Business,Max Montgomery,,,"Chicago, IL",10/18/23,7/1/24,10/23/23,Low confidence,10,10/18/23,,Direct,Engineering projects,Max Montgomery,JPMorgan Chase & Co.,0065c00001O4pky,0065c00001O4pkyAAB,Investigation & Analysis,10/17/23 17:00,,,,Yes,AWS,BFSI 1,Enterprise Architecture,
150000,Td Bank,TD - Cognixia - Change Management,Proposal Creation,Q3-2023,9/29/23,Employee Referral,New Business,Rachel Harrison,,,Direct - No Region,7/17/23,12/29/23,8/10/23,,30,6/21/23,6/15/23,Proactive pitch,Cognixia,Ian Lee,,0065c00001IYojI,0065c00001IYojIAAT,Proposal Creation,6/28/23 17:00,,,,Yes,,BFSI 1,Enterprise Architecture,
1,Capital One Financial Corporation,Card Payment Run-the-Engine,Investigation & Analysis,Q4-2023,11/17/23,Industry,New Business,Rohit Magan,DevSecOps,38,Direct - No Region,1/8/24,6/30/24,10/6/23,Low confidence,10,12/12/22,12/5/22,Direct,Engineering projects,Melissa Alexander,Capital One Financial Corporation,0065c000015XtEw,0065c000015XtEwAAK,Investigation & Analysis,,,,,No,,BFSI 1,Platform Engineering,
1285440,JPMorgan Chase & Co.,JPMC - CT Finance Tech Big Data/Databricks,Qualification,Q4-2023,11/6/23,Other,New Business,Ritesh Brahmbhatt,,26,Direct - No Region,11/7/23,10/31/24,10/23/23,Low confidence,20,10/19/23,,RFP driven,DDS,Timothy Phillips,JPMorgan Chase & Co.,0065c00001O55dx,0065c00001O55dxAAB,Investigation & Analysis,10/22/23 17:00,,,,No,AWS; Databricks,BFSI 1,Platform Engineering,
1400000,JPMorgan Chase & Co.,JPMC - CCB USWM Investment Funding RFP,Proposal Presentation,Q4-2023,11/30/23,Other,New Business,Amir Tal,,25,Direct - No Region,12/1/23,3/31/25,10/23/23,Low confidence,50,10/10/23,,RFP driven,Engineering projects,Timothy Phillips,JPMorgan Chase & Co.,0065c00001NiCw7,0065c00001NiCw7AAF,Proposal Presentation,10/18/23 17:00,,,,No,AWS,BFSI 1,Platform Engineering,
1000000,Citigroup Inc.,Talent transformation,Qualification,Q1-2024,1/26/24,Cold call,New Business,Rahul Naithani,,30,"Dallas, TX",2/1/24,9/4/26,9/28/23,Low confidence,20,9/28/23,,Proactive pitch,Cognixia,Geetanjali Khatri,Citigroup Inc.,0065c00001Nfacf,0065c00001NfacfAAB,,9/27/23 17:00,,,,Yes,,BFSI 1,Platform Engineering,
1500000,Fannie Mae,CGI/Hexaware Replacement,Proposal Creation,Q4-2023,11/10/23,Geo,New Business,Stephen Brown,,22,"Washington D.C, DC",7/10/23,6/27/25,10/23/23,Low confidence,30,4/20/23,4/19/23,Direct,Engineering projects,Kyle Lynch,Fannie Mae,0065c00001CZUEw,0065c00001CZUEwAAP,Proposal Creation,4/20/23 5:26,,,,Yes,,BFSI 1,Platform Engineering,
3000000,Fannie Mae,SIR Safety and Soundness Conversion,Proposal Presentation,Q4-2023,11/17/23,Other,New Business,Stephen Brown,,25,"Washington D.C, DC",9/18/23,9/19/25,10/23/23,High quality,50,7/27/23,7/19/23,Proactive pitch,Engineering projects,Kyle Lynch,Fannie Mae,0065c00001JDM60,0065c00001JDM60AAH,Proposal Presentation,7/26/23 17:00,,,,Yes,AWS,BFSI 1,Platform Engineering,
2250000,Navy Federal Credit Union,NFCU Real Estate Lending Agile Programs,Qualification,Q4-2023,12/15/23,Other,New Business,Stephen Brown,,30,"Washington D.C, DC",1/15/24,6/27/25,6/28/23,Low confidence,20,6/28/23,6/28/23,Direct,Engineering projects,Kyle Lynch,Navy Federal Credit Union,0065c00001K4gAp,0065c00001K4gApAAJ,,6/27/23 17:00,,,,Yes,,BFSI 1,Platform Engineering,
1000000,Cardworks Inc,CardsWorks Digital Transformation,Investigation & Analysis,Q4-2023,12/29/23,Other,New Business,Stephen Brown,,,"Washington D.C, DC",1/2/24,1/2/25,8/10/23,Low confidence,10,8/10/23,8/10/23,Direct,Engineering projects,Kyle Lynch,,0065c00001MeP33,0065c00001MeP33AAF,,8/9/23 17:00,,,,Yes,,BFSI 1,Platform Engineering,
1,Capital One Financial Corporation,Orchestration and Porfilio - Campaign Platforms merger,Inquiry,Q4-2023,11/30/23,Conference / Networking Event,New Business,paul ciavarro,,,"Washington D.C, DC",1/8/24,5/31/24,10/6/23,Low confidence,30,5/4/23,5/4/23,Proactive pitch,Engineering projects,Paul Ciavarro,Capital One Financial Corporation,0065c00001DvNnW,0065c00001DvNnWAAV,Inquiry,5/4/23 19:11,,,,Yes,,BFSI 1,Platform Engineering,
250000,FMR LLC (Fidelity),Fidelity Intelligent Document Processing,Proposal Creation,Q4-2023,11/20/23,Other,New Business,Meghan Stuchel,,35,"Raleigh, NC",1/22/24,12/31/24,9/12/23,High quality,30,6/29/23,6/29/23,Direct,Engineering projects,Meghan Stuchel,FMR LLC (Fidelity),0065c00001K4kd9,0065c00001K4kd9AAB,Proposal Creation,6/28/23 17:00,,,,Yes,,BFSI 1,Platform Engineering,
500000,JPMorgan Chase & Co.,JPMC CB FRB Platform Uplift,Inquiry,Q4-2023,12/29/23,Other,New Business,elizabeth dombrowski,,,"Dallas, TX",1/1/24,12/31/24,10/2/23,Low confidence,20,8/3/23,8/1/23,Direct,Engineering projects,Elizabeth Dombrowski,JPMorgan Chase & Co.,0065c00001JErKr,0065c00001JErKrAAL,Inquiry,8/2/23 17:00,,,,No,,BFSI 1,Platform Engineering,
1,Capital One Financial Corporation,Platform modernization - www.capitalone.com,Investigation & Analysis,Q4-2023,12/31/23,Industry,New Business,Rohit Magan,,35,Direct - No Region,2/5/24,6/30/25,10/6/23,Low confidence,10,3/30/23,3/29/23,Direct,Engineering projects,No Geo AM Involved,Capital One Financial Corporation,0065c00001B8SND,0065c00001B8SNDAA3,Investigation & Analysis,3/30/23 6:24,,,,No,,BFSI 1,Platform Engineering,
2000000,Capital One Financial Corporation,Core - Modernization Phase-I,Investigation & Analysis,Q1-2024,1/31/24,Client Referral,New Business,Rohit Magan,,30,Direct - No Region,2/5/24,12/31/24,10/5/23,Low confidence,10,9/27/23,,Direct,Engineering projects,No Geo AM Involved,Capital One Financial Corporation,0065c00001NfRi3,0065c00001NfRi3AAF,Investigation & Analysis,9/26/23 17:00,,,,Yes,,BFSI 1,Platform Engineering,
5000000,Capital One Financial Corporation,Core - Modernization Phase-II (New Development),Inquiry,Q1-2024,1/31/24,Client Referral,New Business,Rohit Magan,,30,Direct - No Region,2/1/24,6/30/25,9/27/23,Low confidence,0,9/27/23,,Direct,Engineering projects,No Geo AM Involved,Capital One Financial Corporation,0065c00001NfRm5,0065c00001NfRm5AAF,,9/26/23 17:00,,,,Yes,,BFSI 1,Platform Engineering,
800000,"Fidelity National Information Services, Inc.",FIS- Connex/Tandem Payments Development,Investigation & Analysis,Q4-2023,12/18/23,Cold call,New Business,alayna constantine,,,"Tampa, FL",12/11/23,12/9/24,9/27/23,Low confidence,10,8/23/23,8/22/23,Direct,JUMP,Alayna Constantine,"Fidelity National Information Services, Inc.",0065c00001MnDbH,0065c00001MnDbHAAV,Investigation & Analysis,8/22/23 17:00,,,,Yes,,BFSI 1,Platform Engineering,
